date,pm25,pm10,us_aqi
2025-06-17,19.58,19.63,74.83
2025-06-18,20.43,20.89,60.83
2025-06-19,8.92,9.08,59.33
2025-06-20,18.18,18.62,48.33
2025-06-21,18.76,19.25,78.38
2025-06-22,17.53,17.92,71.71
2025-06-23,13.18,13.79,72.75
2025-06-24,8.48,8.8,60.5
2025-06-25,17.25,18.16,61.29
2025-06-26,7.22,7.42,59.38
2025-06-27,13.0,13.22,44.29
2025-06-28,11.88,12.16,53.46
2025-06-29,17.6,17.72,62.0
2025-06-30,16.31,16.41,80.08
2025-07-01,9.6,9.7,55.71
2025-07-02,9.3,9.49,42.83
2025-07-03,12.71,13.25,49.67
2025-07-04,15.14,15.35,49.0
2025-07-05,24.56,25.27,93.25
2025-07-06,11.7,11.82,92.54
2025-07-07,9.09,9.17,68.75
2025-07-08,12.19,12.39,56.42
2025-07-09,22.12,22.47,67.04
2025-07-10,27.18,27.77,87.54
2025-07-11,35.66,36.25,110.79
2025-07-12,16.02,16.27,122.04
2025-07-13,13.48,13.86,83.83
2025-07-14,59.29,60.13,103.54
2025-07-15,42.97,43.58,148.79
2025-07-16,36.9,37.69,139.71
2025-07-17,7.54,7.64,77.21
2025-07-18,5.53,5.76,39.75
2025-07-19,5.01,5.18,54.38
2025-07-20,9.12,9.83,52.25
2025-07-21,11.35,11.51,50.46
2025-07-22,4.23,4.28,37.5
2025-07-23,3.95,3.96,50.58
2025-07-24,10.2,10.41,85.33
2025-07-25,13.79,14.55,64.0
2025-07-26,17.06,17.55,76.88
2025-07-27,10.92,11.2,69.29
2025-07-28,12.98,13.2,61.04
2025-07-29,12.69,12.75,71.62
2025-07-30,16.6,17.46,69.88
2025-07-31,25.35,25.78,75.58
2025-08-01,7.0,7.04,56.75
2025-08-02,10.02,10.11,32.58
2025-08-03,51.23,51.7,84.08
2025-08-04,36.08,36.34,140.88
2025-08-05,20.0,20.17,84.38
2025-08-06,13.7,13.82,70.12
2025-08-07,26.59,27.16,86.75
2025-08-08,26.77,27.1,98.33
2025-08-09,20.79,20.95,103.33
2025-08-10,19.58,19.69,105.54
2025-08-11,16.52,16.59,118.58
2025-08-12,18.67,18.96,103.0
2025-08-13,16.56,16.85,82.17
2025-08-14,18.43,18.49,63.12
2025-08-15,10.0,10.04,62.88
2025-08-16,10.42,10.48,53.88
2025-08-17,11.32,11.41,53.79
2025-08-18,1.02,1.04,36.38
2025-08-19,5.75,5.82,42.12
2025-08-20,9.36,9.5,45.33
2025-08-21,3.82,3.89,39.0
2025-08-22,10.82,10.95,52.71
2025-08-23,10.9,11.29,57.42
2025-08-24,6.82,6.93,48.12
2025-08-25,4.52,4.57,31.62
2025-08-26,3.89,3.92,30.0
2025-08-27,3.62,3.65,30.17
2025-08-28,6.89,6.96,33.17
2025-08-29,9.07,9.54,32.5
2025-08-30,9.81,10.25,37.96
2025-08-31,6.92,7.12,37.25
2025-09-01,9.59,9.74,37.5
2025-09-02,10.59,10.72,53.5
2025-09-03,11.93,12.07,69.62
2025-09-04,9.15,9.28,47.54
2025-09-05,8.52,8.65,41.38
2025-09-06,8.47,8.72,33.17
2025-09-07,8.63,8.88,46.21
2025-09-08,7.82,8.0,27.88
2025-09-09,10.64,10.93,40.58
2025-09-10,12.08,12.22,64.29
2025-09-11,10.73,10.82,61.29
2025-09-12,10.22,10.28,37.71
2025-09-13,20.95,21.06,60.0
2025-09-14,14.72,15.18,62.79
2025-09-15,8.18,8.45,53.42
2025-09-16,7.46,7.57,36.08
2025-09-17,17.51,17.77,49.29
2025-09-18,31.49,31.96,82.21
2025-09-19,6.72,7.17,59.75
2025-09-20,0.93,0.97,30.08
2025-09-21,6.55,6.6,44.92
2025-09-22,11.96,12.08,47.92
