date,temp_max,temp_min,precipitation
2025-06-10,21.7,14.3,0.3
2025-06-11,24.7,14.2,0.1
2025-06-12,23.8,15.8,0.0
2025-06-13,18.1,13.0,0.0
2025-06-14,20.4,14.0,0.0
2025-06-15,22.7,15.8,0.0
2025-06-16,24.9,16.5,0.0
2025-06-17,24.5,14.7,0.7
2025-06-18,28.0,19.5,6.2
2025-06-19,25.1,17.8,5.2
2025-06-20,26.4,15.2,0.6
2025-06-21,26.9,16.3,5.2
2025-06-22,33.1,23.6,1.3
2025-06-23,35.8,23.7,0.0
2025-06-24,36.1,27.2,0.8
2025-06-25,29.4,23.1,0.0
2025-06-26,25.7,17.5,0.0
2025-06-27,23.7,16.3,13.3
2025-06-28,28.1,19.9,2.7
2025-06-29,25.7,15.4,0.0
2025-06-30,27.9,19.2,2.4
2025-07-01,28.9,21.3,0.0
2025-07-02,28.3,18.3,0.6
2025-07-03,26.0,19.0,3.8
2025-07-04,25.1,15.6,0.0
2025-07-05,30.5,18.6,0.2
2025-07-06,32.5,23.9,0.0
2025-07-07,31.7,21.0,0.0
2025-07-08,25.6,19.5,0.0
2025-07-09,25.8,19.4,3.9
2025-07-10,26.9,19.8,0.1
2025-07-11,28.2,20.5,0.0
2025-07-12,31.9,22.1,1.1
2025-07-13,31.1,23.9,1.3
2025-07-14,28.9,22.8,0.0
2025-07-15,30.4,21.3,0.0
2025-07-16,31.1,23.1,1.0
2025-07-17,28.9,18.0,0.3
2025-07-18,23.1,15.1,0.0
2025-07-19,26.4,17.7,0.0
2025-07-20,26.6,20.2,2.5
2025-07-21,23.7,16.7,0.0
2025-07-22,23.9,16.2,0.0
2025-07-23,27.8,17.9,0.0
2025-07-24,32.6,21.6,3.0
2025-07-25,30.0,23.4,2.0
2025-07-26,28.4,20.3,1.8
2025-07-27,33.1,22.0,7.7
2025-07-28,31.6,20.5,0.0
2025-07-29,30.1,22.3,0.0
2025-07-30,29.7,22.2,1.5
2025-07-31,23.4,18.2,4.7
2025-08-01,23.9,16.8,0.0
2025-08-02,25.6,16.4,0.0
2025-08-03,28.4,18.0,0.0
2025-08-04,27.7,19.2,0.0
2025-08-05,26.2,21.7,0.0
2025-08-06,26.5,20.9,0.0
2025-08-07,28.1,21.2,0.0
2025-08-08,28.9,22.1,0.0
2025-08-09,29.8,22.1,0.0
2025-08-10,31.0,23.1,0.0
2025-08-11,31.7,22.5,0.0
2025-08-12,29.8,22.8,3.4
2025-08-13,27.8,21.6,0.7
2025-08-14,26.0,19.2,0.0
2025-08-15,27.0,20.5,0.0
2025-08-16,29.1,19.1,0.0
2025-08-17,25.8,20.0,6.5
2025-08-18,20.2,14.5,0.0
2025-08-19,21.0,18.7,39.0
2025-08-20,21.7,18.2,7.5
2025-08-21,21.8,16.0,0.0
2025-08-22,25.1,16.3,0.0
2025-08-23,25.5,18.4,0.7
2025-08-24,23.7,17.1,0.7
2025-08-25,21.4,14.9,0.0
2025-08-26,20.0,12.9,4.5
2025-08-27,22.4,12.5,0.0
2025-08-28,18.3,13.4,8.6
2025-08-29,18.0,10.6,0.0
2025-08-30,21.5,11.1,0.0
2025-08-31,22.2,11.8,0.0
2025-09-01,23.6,14.0,0.0
2025-09-02,23.8,16.7,0.0
2025-09-03,25.3,16.5,0.0
2025-09-04,20.3,12.5,13.6
2025-09-05,21.3,12.0,2.6
2025-09-06,19.4,12.5,0.0
2025-09-07,17.9,11.3,0.4
2025-09-08,19.7,9.7,0.0
2025-09-09,20.3,12.3,0.0
2025-09-10,22.7,14.5,0.0
2025-09-11,24.6,14.7,0.0
2025-09-12,21.8,14.9,0.0
2025-09-13,22.4,15.4,0.3
2025-09-14,24.2,16.0,0.6
2025-09-15,22.3,16.0,0.0
2025-09-16,23.2,15.1,0.0
2025-09-17,23.7,14.7,0.0
2025-09-18,26.7,15.2,0.1
2025-09-19,20.8,13.9,0.0
2025-09-20,17.2,12.5,0.0
2025-09-21,22.6,15.0,2.8
2025-09-22,24.0,18.6,3.0
2025-09-23,23.7,18.7,5.7
2025-09-24,21.0,18.3,4.9
2025-09-25,21.6,17.6,2.6
2025-09-26,22.5,15.4,0.0
2025-09-27,22.4,16.3,0.0
2025-09-28,23.0,15.7,0.0
2025-09-29,22.5,12.2,0.0
2025-09-30,20.6,14.1,0.0
2025-10-01,17.0,10.0,0.0
2025-10-02,17.7,9.8,0.0
2025-10-03,21.6,8.5,0.0
2025-10-04,23.7,13.8,0.0
2025-10-05,25.6,15.5,0.0
2025-10-06,25.0,16.1,0.0
2025-10-07,22.6,14.8,15.5
2025-10-08,14.8,8.9,0.0
2025-10-09,12.2,4.7,0.0
2025-10-10,16.8,6.9,1.3
2025-10-11,16.5,12.4,3.9
2025-10-12,17.4,11.1,0.7
2025-10-13,17.3,12.3,0.0
2025-10-14,20.9,9.6,0.0
2025-10-15,14.3,8.6,0.0
2025-10-16,14.9,4.7,0.0
2025-10-17,12.5,4.7,3.2
2025-10-18,20.3,12.5,1.5
2025-10-19,21.2,14.5,11.1
2025-10-20,15.4,8.4,9.7
2025-10-21,15.7,5.8,1.1
2025-10-22,11.7,7.2,2.4
2025-10-23,12.0,7.3,3.2
2025-10-24,11.2,6.2,0.0
2025-10-25,11.4,3.5,0.0
2025-10-26,8.5,0.6,0.0
2025-10-27,9.6,2.8,0.0
2025-10-28,11.0,5.8,0.4
2025-10-29,10.9,4.0,0.0
2025-10-30,8.8,5.9,15.0
2025-10-31,8.3,5.2,7.1
2025-11-01,9.4,3.5,0.0
2025-11-02,9.9,0.4,0.0
2025-11-03,10.3,7.0,1.7
2025-11-04,13.4,5.2,0.0
2025-11-05,13.1,6.1,2.0
2025-11-06,7.2,2.6,0.0
2025-11-07,11.4,2.5,4.2
2025-11-08,9.4,1.6,0.0
2025-11-09,1.5,-1.7,9.5
2025-11-10,-1.8,-4.4,1.4
2025-11-11,2.7,-3.9,0.8
2025-11-12,7.6,1.5,0.2
2025-11-13,7.5,3.2,0.1
2025-11-14,8.8,2.1,0.0
2025-11-15,11.1,2.8,3.2
2025-11-16,8.4,0.2,0.0
2025-11-17,4.1,-0.0,0.0
2025-11-18,5.7,0.4,0.0
2025-11-19,5.5,-1.0,0.0
2025-11-20,5.7,-0.4,0.0
2025-11-21,9.6,3.1,0.6
2025-11-22,5.5,1.2,0.0
2025-11-23,8.5,2.3,2.1
2025-11-24,7.0,0.5,0.0
2025-11-25,8.6,4.9,4.7
2025-11-26,10.9,2.0,0.3
2025-11-27,3.0,0.3,0.3
2025-11-28,1.7,-1.6,0.1
2025-11-29,1.2,-3.4,0.0
2025-11-30,3.7,0.5,8.3
2025-12-01,0.0,-5.2,0.1
2025-12-02,0.7,-3.9,1.9
2025-12-03,2.0,-6.1,0.5
2025-12-04,-1.0,-10.7,0.5
2025-12-05,-0.3,-12.9,0.0
2025-12-06,1.5,-0.5,0.0
2025-12-07,0.2,-5.9,1.0
2025-12-08,-4.5,-13.6,0.0
2025-12-09,0.8,-10.6,1.6
2025-12-10,1.7,-3.7,12.7
2025-12-11,-4.1,-9.8,0.1
2025-12-12,-1.0,-10.1,0.0
2025-12-13,-1.4,-7.4,1.0
2025-12-14,-7.6,-11.7,0.0
2025-12-15,-5.0,-11.1,1.3
2025-12-16,0.4,-8.9,0.4
2025-12-17,4.6,-0.3,0.0
2025-12-18,8.2,-0.1,0.4
2025-12-19,9.1,-3.8,10.1
2025-12-20,3.6,-3.9,0.7
2025-12-21,2.9,-4.6,0.0
2025-12-22,2.5,-6.9,0.3
2025-12-23,3.2,0.7,9.6
2025-12-24,2.6,-1.6,0.0
2025-12-25,2.3,-6.3,0.0
2025-12-26,-1.6,-7.3,11.3
2025-12-27,-3.2,-8.7,0.0
2025-12-28,2.5,-3.3,26.8
2025-12-29,8.8,-7.9,7.1
2025-12-30,-3.6,-9.8,0.6
2025-12-31,-3.1,-7.4,1.2
